Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20
mandate,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,0.021592937524973703,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.028016881101692273,2.9074112351899868e-05,1.435502223905932e-05,0.033492146488823225,2.2144162638940886e-05,2.920853476246884e-05
covid,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.03066596773979777,0.0006373938503724795,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.08695419095661856,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.06336217889069008,2.9074112351899868e-05,0.0009232617217445134,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
vaccine,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.03046157099734433,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.05451242102045421,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.1146935242274089,2.9074112351899868e-05,0.04318742324874812,0.018247604479285816,2.2144162638940886e-05,2.920853476246884e-05
children,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,0.11610380608533548,0.11370883018259423,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.08598093785853363,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,0.05444244055761142,0.14109250182915,2.9074112351899868e-05,1.435502223905932e-05,0.06180343879224985,0.044888900769022376,2.920853476246884e-05
young,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,0.00761450954570291,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.14674356683015238,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,0.007285608618282692,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
years,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,0.01519481302662596,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.0010888088427602896,0.019594494864794493,2.3547315651535346e-05,0.011150867633913233,0.007392533411471097,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
time,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.011759174473213964,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,0.007504837628252415,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0052844281668596544,2.9074112351899868e-05,0.013193502165068144,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
people,0.03833439325214197,4.266003831735725e-05,2.2832443264102775e-05,0.015540608798243248,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,0.009532562928985919,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,0.0009232617217445134,0.01688648465700569,2.2144162638940886e-05,0.0009538965110761003
choose,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.00044461560654045196,0.0018699389371316995,1.435502223905932e-05,0.011442005367885184,2.2144162638940886e-05,2.920853476246884e-05
vaccinate,2.88089454800339e-05,4.266003831735725e-05,0.0007456652018353323,0.012883451146348536,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,0.0025067527712788894,4.324406568514422e-05,1.0247527698090005e-05,0.008996382335278472,0.01797631701521155,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.004636406256484554,2.2144162638940886e-05,2.920853476246884e-05
families,2.88089454800339e-05,4.266003831735725e-05,0.0021913307189777914,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,0.0027308385052923767,2.2144162638940886e-05,2.920853476246884e-05
data,2.88089454800339e-05,4.266003831735725e-05,0.010865323821832544,0.003072407508583441,1.9517149103508115e-05,0.006531609048428189,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.012986955502163834,4.7114093122122064e-05,3.333958198208594e-05,0.031009592959479,0.017914690299309578,0.004111140273448939,2.9074112351899868e-05,1.435502223905932e-05,0.000553046789644175,2.2144162638940886e-05,2.920853476246884e-05
evidence,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.017320064784634704,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0023512084333328653,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
supports,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,0.0031089006554483644,3.4206064779861906e-05,0.0013894446460108335,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
safety,0.002764922110241601,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0009835006257830209,4.7114093122122064e-05,3.333958198208594e-05,0.02693277221137739,2.3547315651535346e-05,0.005871072113565012,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
validity,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,0.0003346652270597336,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
long,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,0.10928455132302987,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,0.09135947832253719,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
term,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,0.10928455132302987,2.3547315651535346e-05,4.632646511433493e-06,2.9074112351899868e-05,0.08045259792847174,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
success,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,0.0011171065620545833,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.00015129363318777298,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
early,2.88089454800339e-05,0.013548036060063676,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,3.4206064779861906e-05,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,2.3547315651535346e-05,0.0013245815265984886,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,2.2144162638940886e-05,2.920853476246884e-05
process,2.88089454800339e-05,4.266003831735725e-05,2.2832443264102775e-05,6.456371781849315e-06,1.9517149103508115e-05,0.010863211037527075,4.254512074664245e-05,3.897539660968391e-05,4.324406568514422e-05,1.0247527698090005e-05,4.7114093122122064e-05,3.333958198208594e-05,2.5755273906771714e-05,0.0015144758976230392,4.632646511433493e-06,2.9074112351899868e-05,1.435502223905932e-05,8.598860732124434e-06,0.000723187234613682,2.920853476246884e-05
