Word,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30
mandate,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.04573182527117686,0.020974458992261205,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
covid,0.00044855699836244563,0.06415280711956364,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.06894321522853858,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,0.007233257225771904,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,0.05370578393673059
vaccine,0.03247146932416672,0.043666631692675505,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.011975181274158957,0.11575330585524406,0.003989529578579422,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,0.024327522309610605,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
children,0.05528231098090402,0.11923039351316451,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,0.058137718316882386,5.668384616656473e-05,2.576954790456601e-05,0.016266601888174928,1.4322731324736963e-05,4.312617329123663e-05,0.06874771890550725,0.1608253980675916,2.9749176184637896e-05,0.028358799646283725,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.05400650110947227,5.0464862852803215e-05,3.422091772327306e-05,0.04806832129237594,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,0.06623242799157057
young,9.886966502113124e-06,0.006052670253143185,3.345889244966208e-05,0.17777993438208112,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,0.01075729003442204
years,0.007905947539988098,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,0.007886849596040132,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,0.014790843660477785,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.008924336652713262,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,0.018254196961638776,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
time,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,0.009239099193211614,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.008924336652713262,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,0.008815442945015161,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
people,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,0.04716092167108395,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,0.050852589495606795,0.0057834591078584725,0.009827031201621452,2.611459009498827e-06,0.05546667480971161,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
choose,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,0.0025716619841564805,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.013509574183114315,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,0.0026625739722908907,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
vaccinate,9.886966502113124e-06,0.009411059667387141,3.345889244966208e-05,0.017535990953125837,4.0711309745759475e-05,0.007399571395690345,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,0.014630324426055828,4.312617329123663e-05,0.01105454552878574,2.611459009498827e-06,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,0.0028622808384771424,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
families,9.886966502113124e-06,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,2.338946543431888e-05,5.668384616656473e-05,2.576954790456601e-05,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,0.001541309493262514,0.0009295439466670328,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,2.579904541340308e-05,3.189631718339101e-05,2.967084948576048e-05,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,2.7069449312369413e-05,5.023988352217926e-05,2.588794451340505e-05,3.8684890294664926e-05,2.9827917520131538e-05,2.0166558844903218e-05
data,0.01975003840021708,7.569307504063367e-06,3.345889244966208e-05,3.0350074332401233e-05,4.0711309745759475e-05,4.1460205605267715e-05,2.9515426966100528e-05,0.006249924699518039,5.668384616656473e-05,0.00802926574518044,3.326138350637319e-05,1.4322731324736963e-05,4.312617329123663e-05,6.916584307154886e-06,0.004869007019211552,2.9749176184637896e-05,2.4561974778194683e-05,2.9096291607985128e-05,0.026353102332425868,3.189631718339101e-05,0.003979025533693456,2.8292746370724522e-05,5.0464862852803215e-05,3.422091772327306e-05,0.049269352588452525,5.023988352217926e-05,2.588794451340505e-05,0.0017550760659345523,2.9827917520131538e-05,2.0166558844903218e-05
