docID,text
FDA-2021-N-1088-85541,"Do not mandate a Covid vaccine for children as young as 5 years old. With time we the people will choose to vaccinate our families when we see data and evidence that supports the safety, validity, and long term success of the Covid vaccine. It is still too early in the process for we the people to agree with this required vaccine."
FDA-2021-N-1088-113679,Children are least infected and at risk of COVID-19.  vaccination is not needed and is actually more risk of harm from the vaccine than the actual COVID-19 virus.   The numbers from cdc and VAERS supports this information as well. Do the right thing and do not vaccinate our children
FDA-2021-N-1088-64014,I believe this is absolutely dangerous opening up a vaccine to trial on children that are not even high risk of catching or transmitting covid. 
FDA-2021-N-1088-83687,I strongly oppose vaccine mandates for children 5-12. 
FDA-2021-N-1088-29121,"I am against this government OVERREACH into our lives. This is America, not communist Russia. Stop the madness."
FDA-2021-N-1088-15605,No vaccines for children or anyone else should ever be a mandate.  Which by the way a mandate is NOT a law.
FDA-2021-N-1088-78138,"— I am firmly against the approval of the COVID-19 vaccines for children. Based on available data, the benefits do not outweigh the risks."
FDA-2021-N-1088-6560,"Greetings: I believe that parents should have the final say in whether to vaccinate young children with such a new vaccine that does not have an outcome as to its long-term effects. Originally, it was reported that young children were exempt, so what happened to  change that?"
FDA-2021-N-1088-55701,This is horrible what you are doing when there is other alternative medicine that works. Stop this madness ASAP
FDA-2021-N-1088-90750,Stay away from our kids!! Politicians about to start a fucking war!!! There will be blood!!!
FDA-2021-N-1088-43616,Please Do not vaccinate children! They are vulnerable. Parents should make that decision Thank you
FDA-2021-N-1088-109105,"MRNA technology has proven to be harmful, even deadly for adult and teen consumption.  Please do not consider or carry out plans to innoculate our children with this cocktail of deadly poison.  That would be unconscionable.  "
FDA-2021-N-1088-62598,"You people are sick,sick,sick! Stay the hell away from our kids! Cant wait till you all go down for crimes against humanity! Remember God Wins!"
FDA-2021-N-1088-122593,"It is unethical and morally wrong to give the experimental drug to the children. Statistically they are in no harm from cv19. Stop the push, stop the coercion. "
FDA-2021-N-1088-44899,"Statistically, children have a greater chance of having a severe Covid vaccine reaction than having a severe case of Covid.Please hear me. One child who is profoundly injured or dies from a Covid vaccine is one child too many."
FDA-2021-N-1088-75129,Covid 19 vaccine should NOT be mandated for children 5-12 or anyone for that matter 
FDA-2021-N-1088-27878,"I think this is absolutely ridiculous as vaccinations have proven not to slow down, stop or prevent Covid. Why such the huge push? "
FDA-2021-N-1088-29076,"Insane, what’s happened to humanity, this will not go well. This is not ok. "
FDA-2021-N-1088-115747,No child should risk injury with a treatment for a disease that likely wouldn't injure them. Anybody putting their name to such a practice should be held accountable for all damage that occurs as a result.
FDA-2021-N-1088-11359,I am strongly opposed to mandating any COVID-19 vaccine to children. The science shows there is statistically no risk of harm to children contracting this virus. The studies show there is a much more significant risk of serious injury including death due to potential side effects of these vaccines. Do not use innocent children as pawns. 
FDA-2021-N-1088-56223,"I find it unconscionable to even consider approving a vaccine for children to combat an illness, covid-19, which poses almost no threat to children. As you know more children die each year from the flu than have died from covid-19. Please do not approve this vaccine for children."
FDA-2021-N-1088-1057,I am opposed to vaccination of children! This vaccine is under EUA and has not been through clinical trials to prove it is safe! It is experimental!!!
FDA-2021-N-1088-2961,"Please I pray, if you have a conscience,  DO NOT give this vaccine approval for our children!!  It will kill and has no good benefits.  May God Bless and keep our children safe and healthy. Prayers to help us All."
FDA-2021-N-1088-17988,Our children should not be forced to get an experimental vaccination!  We the parents should be able to make that decision instead of being forced by the State or Federal government telling us they have to be vaccinated!
FDA-2021-N-1088-86587,"Please no.  The vaccine has not gone through the normal regulatory and testing processes that most all vaccines to come before it have. In fact, clinical trials for the Pfizer vaccine are not even scheduled for completion until May of 2023 -- nearly two years from now!"
FDA-2021-N-1088-87935,Informed Consent is a right! We will not stand for forced medical procedures on We the People. We will not allow the government to force us to purchase this controversial gene therapy product from. Their chosen lobbying corporations. This is a crime against civil rights.
FDA-2021-N-1088-30245,Do not allow children to be vaccinated without the consent of their parents. This vaccine has not been tested and has been shown to show a lot of deaths an adverse reactions according to the CDC website
FDA-2021-N-1088-60687,Please do not do this to our children. Stop being evil. 
FDA-2021-N-1088-59982,This is not safe for human consumption at all and you know it. Will you really be able to sleep at night if you approve it?
FDA-2021-N-1088-95537,"As a mother I am strongly against young children being given the covid-19 vaccine. Would I risk giving it to my healthy child. No way. Maybe more time should be spent focusing on informing the public on the benefits of healthy eating, which builds a strong immune system. "
FDA-2021-N-1088-33358,No vaccine for C19 for kids-the data does not support it
FDA-2021-N-1088-50628,I do not and will not comply with a vaccine for my child. It is a sickness and he needs to go to school and build antibodies himself. He doesn’t need a thrown together vaccine or the government mandating it. 
FDA-2021-N-1088-83786,"Do NOT approve a covid-19 vaccine for children under 12! Be responsible and do proper, extended laboratory trials. It is too early to know if these present vaccines for 12 and over are safe. VAERS injury reports have skyrocketed this year. Stop this insanity now! "
FDA-2021-N-1088-30144,Please do not recommend or require children under the age of 18 or ages 5-11 be vaccinated for covid 19.
FDA-2021-N-1088-22756,"Please do not vaccinate our children, ages 5-11, their own immune system will fight off the virus, these children are our future!!!  The horrific risks you are taking are in your hands (FDA & all US Government) all for the sake of money, I don't know how any of you sleep at night!!"
FDA-2021-N-1088-93359,"Please DO NOT MANDATE children, or anyone for that matter to take the Covid -vaccine.  It is a personal choice, and especially for an underdeveloped child.  Please respect our bodies, and our choice especially since there is no scientific evidence of the long term effects from the vaccine. Thank you for your time. "
FDA-2021-N-1088-22543,We The People demand you retract your mandates for vaccines for young children. This is dangerous and unconstitutional.
FDA-2021-N-1088-111806,"Since the FDA hasn’t even approved vitamins yet, clearly an experimental vaccine for a virus barely effecting this age group would be inappropriate.  The benefit does not outweigh the risk."
FDA-2021-N-1088-95658,"As long as we don’t Know the Long Term effects of the covid vaccine, ( 2,5,10 years from now) it is absolutely  irresponsible to force these pharmaceuticals on our children. We as parents are the sole responsible party for our children, it is inconceivable to me that this Government is planning to override this freedom. "
FDA-2021-N-1088-58249,I do not support the vaccine manadates! Our bodies and we decide what goes in them. 
FDA-2021-N-1088-75617,By mandating vaccination of children 5-11 you will be committing genocide.  Children are the least prone to covid with a 100 % chance of survival if they do get it.  Please know God sees all and knows all.  There will be no mercy on your soul if you harm even one hair of that of one of his children. 
FDA-2021-N-1088-88709,"Kids have been proven to be at little to no risk of covid 19, my own child had it and was less sick with covid than she was with pneumonia 2 yrs ago. Giving our children experimental shot that we do not know long term reprocussions of is not only dangerous but negligence. Do not approve these for our kids ever!!"
FDA-2021-N-1088-32027,I am totally against covid vaccinations for 5 to 11 years olds.....unconscionable 
FDA-2021-N-1088-35394,This age group has a very small risk of severe side effects to covid and we dont know the long term effects of the vaccine. 
FDA-2021-N-1088-35965,"The Covid vaccine is the mark of the beast, and if you do not repent of this wrongdoing, all your souls are forfeit. Jesus Christ is Lord above all, and you must accept Him as your Lord and Savior. Seek forgiveness and it will be granted to you. Refuse it, and you will NOT be shown any mercy. "
FDA-2021-N-1088-58964,This is a terrible idea. You have to know something is wrong. You will be haunted all your days if you cause harm to these children. Leave them alone! They are not at risk. Any culture that sacrifices kids to protect adults is doomed. 
FDA-2021-N-1088-38463,"Children do NOT need this shot that's clearly giving everyone health issues, and kids have a natural immune system to begin with because they are outside playing and doing what kids do! NO SHOT! If they get this virus, it'll be so mild they won't know they have it till they get tested, and will be over it in a few days, just like any other, and life goes on, with antibodies forever."
FDA-2021-N-1088-104800,"Please do not approve these vaccines for these young children. Many FDA panelists have expressed great concerns for these vaccines and the benefits simply do not outweigh the risks for these young people.Please look at the science and not the politics and do the right thing to save these children from an experimental drug that is already showing terrible effects on young people, as well as others."
FDA-2021-N-1088-106773,Please Please Please for the Love of the Good Lord think about what you are doing to the children.  This jab is pure evil.
FDA-2021-N-1088-6648,Stop the mandate! I am against children 5-12 being forced to get the Covid 19 vaccine!
FDA-2021-N-1088-25892,"I’m TOTALLY AGAINST KIDS ESPECIALLY 5-12 getting the covid vaccine !!!It isn’t necessary, they aren’t getting sick!It could cause all kinds of problems for them now and in the future!!!!!!DO MOT DO THIS!IT ISNT EVEN FDA APPROVED!!!!! 
"
FDA-2021-N-1088-100562,"I do not support this proposition, my child's health and vaccination is my responsibility and not the governments to decide!"
FDA-2021-N-1088-21011,"When you deliberate the Covid-19 vaccine for children, please consider that this is not a childhood disease. Vaccinations are important and have they’re place, but it is not here. A brand new vaccine for children would voluntarily welcome side effects for a group that is overwhelmingly unaffected by the Covid-19 virus.  Please do not test or mandate this vaccine for children."
FDA-2021-N-1088-21899,This comment is to express my opposition to having a vaccine mandate to children 5 and up. The trials for the vaccines won’t be completed until 2023. Children are not at risk of serious illness from covid and more are risks of serious adverse events from the vaccine. Who will be responsible when children develop myocardial ischemia from the vaccine? 
FDA-2021-N-1088-102641,Do not approve this for our children! They are not affected by Covid and they have a 99.5% recovery rate. You have no idea what long term effects this will do to them. God have mercy on your soul if you do this. 
FDA-2021-N-1088-48186,I strongly oppose any and all mandates for children vaccinations in regards to covid. This is wildly an overreach. 
FDA-2021-N-1088-90559,"I oppose approval of the Pfizer COVID -19 vaccine for children ages 5-11.  • The vaccine has not passed full regulatory and testing processes. • Ages 5-11 are a low risk cohort.• Side effects and adverse reactions may be worse than the disease in this age group.

"
FDA-2021-N-1088-52119,"Stop masking kids and do not mandate Covid vaccines for them. There is no proven benefit to children who are at very low risk of getting COVID but there are adverse events from the vaccine that are real and we’ll documented. Do not mess around with our kids’ long term health, do not mandate vaccines for kids."
FDA-2021-N-1088-34204,"Please oppose approval of covid vaccine for 5-11 year olds.  Why are we mandating vaccines for  something that has an outstanding survival rate? Also, this vaccine doesn’t do much - you can still get sick, you can still spread the virus and you can still die from Covid.  We don’t need a Nanny Goverment. "
FDA-2021-N-1088-108629,"The risk of a severe adverse reaction to this vaccine greatly outweighs any benefit it might have on anyone, let alone children.  The utter lack of any long term study on possible long term side effects makes even the consideration of injecting children with any amount of this “vaccine” utterly unacceptable,  "
FDA-2021-N-1088-55035,"Vaccines & medical choices of any kind are to be choices of the parents, not the government. This is a complete overreach. I am responsible for my child, not the government. Also, there’s no way this vaccine has had enough time + testing. "
FDA-2021-N-1088-56812,"This is insane, kids aren’t even affected by COVID, stop kids are sacred, nobody needs this, natural immunity is always better. No vaccines for kids "
FDA-2021-N-1088-30764,Say no to COVID-19 vaccine for child..  The chance of children get covid is so small. There is no need to vaccinate them. Why take a high in harming a child. Please stop this mandate now.
